English,Marathi
the babys kicking,बाळ लात मारतंय
the batter was out,बॅटर आउट झाला
the bottle is full,बाटली भरलेली आहे
the boy eats bread,मुलगा पाव खातो
the boy eats bread,तो मुलगा ब्रेड खातो
the boy is thirsty,मुलाला तहान लागली आहे
the car broke down,गाडी बंद पडली
the clock is wrong,घड्याळ चुकीचं आहे
the coffee is cold,कॉफी थंड आहे
the crow flew away,कावळा उडून गेला
the dog is jumping,कुत्रा उडी मारतोय
the dog seems sick,कुत्रा आजारी वाटतोय
the dog wants meat,कुत्र्याला मांस हवंय
the doors are open,दरवाजे उघडे आहेत
the doors are open,दारे उघडी आहेत
the earth is round,पृथ्वी गोल आहे
the earth is round,पृथ्वी गोल असते
the ice has melted,बर्फ वितळलाय
the ice is melting,बर्फ वितळतोय
the king is coming,राजा येतोय
the night was cold,रात्र थंड होती
the night was cool,रात्र गार होती
the paper is white,कागद सफेद आहे
the parrot is dead,पोपट मेलाय
the parrot is dead,तो पोपट मेला आहे
the rocket went up,रॉकेट वर गेलं
the room was empty,खोली रिकामी होती
the shop is closed,दुकान बंद आहे
the sun is shining,सूर्य चमकतोय
the sun is shining,सूर्य चमकत आहे
the telephone rang,फोन वाजला
the thief ran away,चोर पळून गेला
the thief vanished,चोर गायब झाला
the tree fell down,झाड खाली पडलं
the waves are high,लाटा उंच आहेत
the wind is strong,वारा जोरदार आहे
the window is open,खिडकी उघडी आहे
there must be more,अजून असायला पाहिजे
there must be more,अजून असेल
there is a day left,एक दिवस उरला आहे
there is a day left,एक दिवस राहिला आहे
these dogs are big,हे कुत्रे मोठे आहेत
they are all happy,ते सर्व खूष आहेत
they are too close,ते खूपच जवळ आहेत
they are too close,त्या खूपच जवळ आहेत
they both got rich,ते दोघेही श्रीमंत झाले
they both got rich,त्या दोघीही श्रीमंत झाल्या
they can afford it,त्यांना परवडतं
they did not enter,त्यांनी प्रवेश केला नाही
they did not see me,त्यांनी मला बघितलं नाही
they did not see me,त्यांनी मला पाहिलं नाही
they do not know me,ते मला ओळखत नाहीत
they do not know me,त्या मला ओळखत नाहीत
they do not know us,ते आपल्याला ओळखत नाहीत
they do not know us,ते आम्हाला ओळखत नाहीत
they do not know us,त्या आपल्याला ओळखत नाहीत
they do not know us,त्या आम्हाला ओळखत नाहीत
they do not want it,त्यांना नकोय
they eat chocolate,ते चॉकलेट खातात
they eat chocolate,त्या चॉकलेट खातात
they found nothing,त्यांना काहीही सापडलं नाही
they found nothing,त्यांना काहीच सापडलं नाही
they gave it to me,तिने ते मला दिलं
they gave it to me,तिने मला दिलं
they gave it to me,त्यांनी ते मला दिलं
they gave it to me,त्यांनी मला दिलं
they kicked us out,त्यांनी आम्हाला लाथ मारून बाहेर काढलं
they kicked us out,त्यांनी आपल्याला लाथ मारून बाहेर काढलं
they kicked us out,त्यांनी आम्हाला बाहेर काढून टाकलं
they kicked us out,त्यांनी आपल्याला बाहेर काढून टाकलं
they laughed again,ते पुन्हा हसले
they laughed again,त्या पुन्हा हसल्या
they laughed at me,त्या माझ्यावर हसल्या
they laughed at me,ते माझ्यावर हसले
they laughed at us,ते आमच्यावर हसले
they laughed at us,ते आपल्यावर हसले
they laughed at us,त्या आमच्यावर हसल्या
they laughed at us,त्या आपल्यावर हसल्या
they like to dance,त्यांना नाचायला आवडतं
they made me do it,त्यांनी मला करायला लावलं
they need our help,त्यांना आपल्या मदतीची गरज आहे
they need our help,त्यांना आमच्या मदतीची गरज आहे
they seem american,ते अमेरिकन वाटतात
they seem american,ते अमेरिकन वाटताहेत
they took tom away,ते टॉमला घेऊन गेले
they took tom away,त्यांनी टॉमला नेलं
they were laughing,ते हसत होते
they were laughing,त्या हसत होत्या
they were murdered,त्यांचा खून केला गेला
they were soldiers,ते सैनिक होते
they would not find it,त्यांना सापडणार नाही
they would not tell us,ते आम्हाला सांगणार नाहीत
they would not tell us,ते आपल्याला सांगणार नाहीत
they would not tell us,त्या आम्हाला सांगणार नाहीत
they would not tell us,त्या आपल्याला सांगणार नाहीत
they work at night,ते रात्री काम करतात
they work at night,त्या रात्री काम करतात
they will understand,त्यांना समजेल
they will understand,ते समजतील
they are christians,ते क्रिश्चन आहेत
they are christians,ते ख्रिस्ती आहेत
they are christians,ते इसवी आहेत
they are both crazy,ते दोघेही वेडे आहेत
they are both crazy,त्या दोघीही वेड्या आहेत
they are both quiet,ते दोघेही शांत आहेत
they are both quiet,त्या दोघीही शांत आहेत
they are coming now,ते आता येतायत
they are coming now,त्या आता येतायत
they are doing fine,त्या बर्‍या आहेत
they are doing fine,ते बरे आहेत
they are everywhere,ते सगळीकडे आहेत
they are foreigners,ते विदेशी आहेत
they are foreigners,त्या विदेशी आहेत
they are not moving,ते हलत नाहीयेत
they are not moving,त्या हलत नाहीयेत
they are not stupid,ते मूर्ख नाहीत
think for a moment,क्षणभर विचार कर
think for a moment,क्षणभर विचार करा
this book is toms,हे पुस्तक टॉमचं आहे
this book is heavy,हे पुस्तक जड आहे
this book is small,हे पुस्तक छोटं आहे
this book is yours,हे पुस्तक तुझं आहे
this book is yours,हे पुस्तक तुमचं आहे
this book was easy,हे पुस्तक सोपं होतं
this cake is sweet,हा केक गोड आहे
this chair is ugly,ही खुर्ची कुरूप आहे
this clock is mine,हे घड्याळ माझं आहे
this corn is fresh,हा मक्का ताजा आहे
this is marys dog,हा मेरीचा कुत्रा आहे
this is toms book,हे टॉमचं पुस्तक आहे
this is toms book,ही टॉमची वही आहे
this is a good job,ही चांगली नोकरी आहे
this is a triangle,हा त्रिकोण आहे
this is all i know,मला एवढच माहिती
this is all i know,मला एवढच माहीत आहे
this is almost new,हे जवळजवळ नवीनच आहे
this is easy to do,हे करायला सोपं आहे
this is impossible,हे अशक्य आहे
this is my bicycle,ही माझी सायकल आहे
this is my brother,तो माझा भाऊ आहे
this is my brother,ते माझे भाऊ आहेत
this is my brother,तो माझा बंधू आहे
this is not a pipe,हा पाइप नाही
this is our policy,ही आमची नीती आहे
this is our policy,ही आपली नीती आहे
this is surprising,हे आश्चर्यजनक आहे
this is surprising,हे आश्चर्यकारक आहे
this is not correct,हे योग्य नाही
this is not my book,हे माझं पुस्तक नाहीये
this must be yours,हे तुझं असेल
this must be yours,हा तुझा असेल
this must be yours,ही तुझा असेल
this pencil is red,ही पेन्सिल लाल आहे
this place is ours,ही जागा आमची आहे
this soup is great,हे सूप मस्त आहे
this story is true,ही गोष्ट खरी आहे
this story is true,ही कथा खरी आहे
this water is deep,हे पाणी खोलवर आहे
this week was nice,हा आठवडा चांगला होता
those are my books,ती माझी पुस्तकं आहेत
three of them died,त्यांच्यातले तीन मेले
three were injured,तीन जखमी झाले
times are changing,काळ बदलत आहे
times have changed,काळ बदलला आहे
today is march th,आज  मार्च आहे
today is wednesday,आज बुधवार आहे
tom almost drowned,टॉम जवळजवळ बुडून गेला
tom almost drowned,टॉम तर जवळजवळ बुडून गेला
tom ate his dinner,टॉम जेवला
tom became a judge,टॉम न्यायाधीश बनला
tom began laughing,टॉम हसू लागला
tom began to laugh,टॉम हसू लागला
tom began to snore,टॉम घोरायला लागला
tom began to snore,टॉमने घोरायला सुरुवात केली
tom bought a drone,टॉमने एक ड्रोन विकत घेतला
tom bought a table,टॉमने एक टेबल विकत घेतलं
tom bought flowers,टॉमने फुलं विकत घेतली
tom came on monday,टॉम सोमवारी आला
tom cannot help you,टॉम तुझी मदत करू शकत नाही
tom cannot help you,टॉम तुमची मदत करू शकत नाही
tom cannot read yet,टॉमला अजून वाचता येत नाही
tom cannot swim yet,टॉम अजूनपर्यंत पोहू शकत नाही
tom cannot swim yet,टॉमला अजूनपर्यंत पोहता येत नाही
tom could tell you,टॉम तुला सांगू शकेल
tom could tell you,टॉम तुम्हाला सांगू शकेल
tom danced with me,टॉम माझ्याबरोबर नाचला
tom decided to try,टॉमने प्रयत्न करायचं ठरवलं
tom decided to try,टॉमने प्रयत्न करायचा निर्णय घेतला
tom did that today,टॉमने तसं आज केलं
tom did that today,टॉमने ते आज केलं
tom did not go home,टॉम घरी गेला नाही
tom did not need it,टॉमला गरज नव्हती
tom did not see you,टॉमला तू दिसला नाहीस
tom did not see you,टॉमला तू दिसली नाहीस
tom did not see you,टॉमने तुला बघितलं नाही
tom did not see you,टॉमने तुला पाहिलं नाही
tom died last year,टॉम मागच्या वर्षी मेला
tom died last year,टॉम मागच्या वर्षी वारला
tom died not mary,टॉम मेला मेरी नाही
tom died not mary,टॉम वारला मेरी नाही
tom does not gamble,टॉम जुगार खेळत नाही
tom drank his wine,टॉम त्याची वाईन प्यायला
tom gave us a book,टॉमने आम्हाला एक पुस्तक दिलं
tom gave us a book,टॉमने आपल्याला एक पुस्तक दिलं
tom got very angry,टॉम खूप रागावला
tom had three aces,टॉमकडे तीन एक्के आहेत
tom had three dogs,टॉमकडे तीन कुत्रे आहेत
tom has a blue car,टॉमकडे एक निळी गाडी आहे
tom has a cold now,टॉमला आता सर्दी झाली आहे
tom has been found,टॉम सापडला गेला आहे
tom has been lucky,टॉमचं नशीब चांगलं राहिलं आहे
tom has black hair,टॉमकडे काळे केस आहेत
tom has three cars,टॉमकडे तीन गाड्या आहेत
tom has three cats,टॉमकडे तीन मांजरी आहेत
tom has three cats,टॉमकडे तीन बोके आहेत
tom has three dogs,टॉमकडे तीन कुत्रे आहेत
tom has not changed,टॉम बदलला नाहीये
tom helps the poor,टॉम गरिबांची मदत करतो
tom is a cameraman,टॉम कॅमेरामन आहे
tom is a chauffeur,टॉम शोफर आहे
tom is a communist,टॉम साम्यवादी आहे
tom is a good cook,टॉम खाणं चांगलं शिजवतो
tom is a hillbilly,टॉम हिलबिली आहे
tom is a lucky man,टॉम हा नशीबवान माणूस आहे
tom is a real poet,टॉम हा खरा कवी आहे
tom is a real poet,टॉम खरा कवी आहे
tom is a smart boy,टॉम हुशार मुलगा आहे
tom is a socialist,टॉम समाजवादी आहे
tom is a terrorist,टॉम अतिरेकी आहे
tom is a true poet,टॉम हा खरा कवी आहे
tom is a true poet,टॉम खरा कवी आहे
tom is always here,टॉम नेहमीच इथे असतो
tom is an engineer,टॉम इंजिनियर आहे
tom is at my house,टॉम माझ्या घरी आहे
tom is at my place,टॉम माझ्या इथे आहे
tom is calling you,टॉम तुला बोलवतोय
tom is calling you,टॉम तुला फोन करतोय
tom is calling you,टॉम तुम्हाला बोलवतोय
tom is calling you,टॉम तुम्हाला फोन करतोय
tom is eating cake,टॉम केक खातोय
tom is going blind,टॉम आंधळा होत चालला आहे
tom is hardworking,टॉम मेहनती आहे
tom is her brother,टॉम तिचा भाऊ आहे
tom is her brother,टॉम तिचा दादा आहे
tom is his brother,टॉम त्याचा भाऊ आहे
tom is his brother,टॉम त्याचा दादा आहे
tom is in his room,टॉम त्याच्या खोलीत आहे
tom is in jail now,टॉम आता तुरुंगात आहे
tom is in the park,टॉम बागेत आहे
tom is in the room,टॉम खोलीत आहे
tom is my favorite,टॉम माझ्या आवडीचा आहे
tom is my favorite,टॉम माझा सर्वात आवडता आहे
tom is my neighbor,टॉम माझा शेजारी आहे
tom is my new boss,टॉम माझा नवीन बॉस आहे
tom is not jealous,टॉम मत्सरी स्वभावाचा नाही
tom is not jealous,टॉमला मत्सर वाटत नाहीये
tom is on the roof,टॉम छतावर आहे
tom is on the roof,टॉम टेरेसवर आहे
tom is rarely late,टॉमला क्वचितच उशीर होतो
tom is still angry,टॉम अजूनही रागावलेला आहे
tom is still awake,टॉम अजूनही जागा आहे
tom is the captain,टॉम कॅप्टन आहे
tom is the captain,टॉम कर्णधार आहे
tom is the captain,टॉम संघनायक आहे
tom is there alone,टॉम तिथे एकटा आहे
tom is unconscious,टॉम बेशुद्ध आहे
tom is very famous,टॉम अतिशय प्रसिद्ध आहे
tom is not canadian,टॉम कॅनेडियन नाहीये
tom is not a doctor,टॉम डॉक्टर नाहीये
tom is not drowning,टॉम बुडत नाहीये
tom is not fighting,टॉम लढत नाहीये
tom is not home now,टॉम आता घरी नाहीये
tom is not innocent,टॉम निर्दोष नाहीये
tom is not laughing,टॉम हसत नाहीये
tom is not sleeping,टॉम झोपत नाहीये
tom kept on crying,टॉम रडतच राहिला
tom kept the money,टॉमने पैसे स्वतःबरोबर ठेवले
tom kept whistling,टॉम शिटी वाजवत राहिला
tom kicked the can,टॉमने कॅनला लात मारली
tom knew our names,टॉमला आमची नावं माहीत होती
tom knew our names,टॉमला आपली नावं माहीत होती
tom knows them all,टॉमला ते सगळे माहीत आहेत
tom knows them all,टॉमला त्या सगळ्या माहीत आहेत
tom knows them all,टॉमला ती सगळी माहीत आहेत
tom laughed loudly,टॉम जोरजोरात हसला
tom laughed loudly,टॉम जोरात हसला
tom learned french,टॉम फ्रेंच शिकला
tom left on monday,टॉम सोमवारी निघाला
tom likes potatoes,टॉमला बटाटे आवडतात
tom likes swimming,टॉमला पोहायला आवडतं
tom likes to argue,टॉमला भांडायला आवडतं
tom likes to study,टॉमला अभ्यास करायला आवडतो
tom locked the car,टॉमने गाडी लॉक केली
tom looks like you,टॉम तुझ्यासारखा दिसतो
tom looks like you,टॉम तुमच्यासारखा दिसतो
tom loved gambling,टॉमला जुगार खेळायला खूप आवडायचा
tom loves gambling,टॉमला जुगार खेळायला खूप आवडतो
tom loves gambling,टॉमला जुगार खूप आवडतो
tom made mary swim,टॉमने मेरीला पोहायला लावलं
tom made a mistake,टॉमने एक चूक केली
tom made a mistake,टॉमने चूक केली
tom made an omelet,टॉमने एक आमलेट बनवलं
tom makes me laugh,टॉम मला हसवतो
tom makes me laugh,टॉममुळे मला हसायला येतं
tom missed his son,टॉमला त्याच्या मुलाची आठवण आली
tom needs a lawyer,टॉमला एका वकिलाची गरज आहे
tom never helps me,टॉम कधीच माझी मदत करत नाही
tom opened the bag,टॉमने पिशवी उघडली
tom opened the bag,टॉमने बॅग उघडली
tom ordered coffee,टॉमने कॉफी मागवली
tom packed his bag,त्याने त्याची बॅग भरली
tom packed his bag,त्याने आपली बॅग भरली
tom packed his bag,त्यांनी आपली बॅग भरली
tom packed his bag,त्यांनी त्यांची बॅग भरली
tom plays football,टॉम फुटबॉल खेळतो
tom proposed to me,टॉमने मला प्रपोज केलं
tom put his hat on,टॉमने आपली टोपी घातली
tom ran after mary,टॉम मेरीच्या मागे धावला
tom ran after mary,टॉम मेरीनंतर धावला
tom remained still,टॉम स्थिर राहिला
tom resigned today,आज टॉमने राजीनामा दिला
tom runs very fast,टॉम अगदी वेगात धावतो
tom runs very fast,टॉम अगदी वेगाने पळतो
tom runs very fast,टॉम अगदी जोरात धावतो
tom said i was fat,टॉम म्हणाला मी जाडा आहे
tom said i was fat,टॉम म्हणाला मी जाडी आहे
tom sat on a chair,टॉम एका खुर्चीवर बसला
tom skipped school,टॉमने शाळेला दांडी मारली
tom started a fire,टॉमने आग पेटवली
tom stayed at home,टॉम घरी राहिला
tom stayed outside,टॉम बाहेर राहिला
tom stayed outside,टॉम बाहेरच राहिला
tom stood watching,टॉम बघत उभा राहिला
tom studied french,टॉमने फ्रेंचचा अभ्यास केला
tom studies french,टॉम फ्रेंचचा अभ्यास करतो
tom talked to mary,टॉम मेरीशी बोलला
tom teaches french,टॉम फ्रेंच शिकवतो
tom thinks so too,टॉमलाही असंच वाटतं
tom threw the dart,टॉमने डार्ट फेकला
tom told the truth,टॉमने खरं सांगितलं
tom took mary home,टॉम मेरीला घरी घेऊन गेला
tom took mary home,टॉमने मेरीला घरी नेलं
tom took something,टॉमने काहीतरी घेतलं
tom took the train,टॉमने ट्रेन पकडली
tom tried to leave,टॉमने निघायचा प्रयत्न केला
tom tried to sleep,टॉमने झोपायचा प्रयत्न केला
tom turned serious,टॉम गंभीर झाला
tom understands me,टॉम मला समजतो
tom wanted answers,टॉमला उत्तरं हवी होती
tom wanted to live,टॉमला जगायचं होतं
tom wanted to stay,टॉमला राहायचं होतं
tom wants a lawyer,टॉमला वकील हवा आहे
tom wants evidence,टॉमला पुरावा हवा आहे
tom wants this car,टॉमला ही गाडी हवी आहे
tom wants to dance,टॉमला नाचायचं आहे
tom wants to learn,टॉमला शिकायचं आहे
tom wants to watch,टॉमला बघायचं आहे
tom was a good boy,टॉम चांगला मुलगा होता
tom was also there,टॉमसुद्धा तिथे होता
tom was also there,टॉम ही तिकडे होता
tom was courageous,टॉम धाडसी होता
tom was helping me,टॉम माझी मदत करत होता
tom was in the car,टॉम गाडीत होता
tom was in trouble,टॉम गडबडीत होता
tom was pushing me,टॉम मला ढकलत होता
tom was very funny,टॉम एकदम मजेशीर होता
tom went on eating,टॉम खात गेला
tom went to boston,टॉम बॉस्टनला गेला
tom will be asleep,टॉम झोपलेला असेल
tom will catch you,टॉम तुला पकडेल
tom will catch you,टॉम तुम्हाला पकडेल
tom will tell mary,टॉम मेरीला सांगेल
tom would not admit it,टॉम कबूल करणार नाही
tom would not bite you,टॉम तुला चावणार नाही
tom would not bite you,टॉम तुम्हाला चावणार नाही
tom would not catch me,टॉम मला पकडणार नाही
tom would not find out,टॉमला कळणार नाही
tom would not get away,टॉम सुटणार नाही
tom would not hit mary,टॉम मेरीला मारणार नाही
tom would not stop you,टॉम तुला थांबवणार नाही
tom would not stop you,टॉम तुम्हाला थांबवणार नाही
tom works at night,टॉम रात्री काम करतो
tom works for mary,टॉम मेरीसाठी काम करतो
tom works for nasa,टॉम नासासाठी काम करतो
tom wrote a letter,टॉमने एक पत्र लिहिलं
toms bus was late,टॉमच्या बसला उशीर झाला
toms dog has died,टॉमचा कुत्रा मेला आहे
toms hat blew off,टॉमची टोपी उडून गेली
toms nose was red,टॉमचं नाक लाल होतं
tom where are you,टॉम कुठे आहेस तू
tomorrow is sunday,उद्या रविवार आहे
turn off the alarm,गजर बंद कर
turn off the alarm,गजर बंद करा
turn off the radio,रेडिओ बंद कर
turn off the radio,रेडिओ बंद करा
turn the volume up,आवाज वाढव
turn the volume up,आवाज वाढवा
was his story true,त्याची गोष्ट खरी होती का
was the movie good,चित्रपट चांगला होता का
was the movie good,पिक्चर चांगला होता का
was the soup tasty,सूप चविष्ट होतं का
watch your fingers,बोटं सांभाळ
watch your fingers,बोटं सांभाळा
we adopted a child,आम्ही एक मूल दत्तक घेतलं
we adopted a child,आम्ही एका मूलाला दत्तक घेतलं
we adopted a child,आपण एक मूल दत्तक घेतलं
we all cried a lot,आम्ही सर्व भरपूर रडलो
we argue every day,आम्ही दररोज भांडतो
we argue every day,आपण दररोज भांडतो
we ate potato soup,आम्ही बटाट्याचं सूप प्यायलो
we ate potato soup,आपण बटाट्याचं सूप प्यायलो
we ate some apples,आम्ही थोडी सफरचंदे खालली
we can do anything,आपण काहीही करू शकतो
we can do anything,आम्ही काहीही करू शकतो
we cannot afford it,आम्हाला ते परवडत नाही
we cannot afford it,आपल्याला ते परवडत नाही
we cannot stay here,आपण इथे राहू शकत नाही
we cannot stay here,आम्ही इथे राहू शकत नाही
we cannot stop here,आम्ही इथे थांबू शकत नाही
we cannot stop here,आपण इथे थांबू शकत नाही
we decided to stay,आम्ही राहायचं ठरवलं
we did not find tom,आम्हाला टॉम सापडला नाही
we did not find tom,आपल्याला टॉम सापडला नाही
we did not kill tom,आम्ही टॉमला ठार मारलं नाही
we did not kill tom,आपण टॉमला ठार मारलं नाही
we do not know her,आम्ही तिला ओळखत नाही
we do not know her,आपण तिला ओळखत नाही
we do not know him,आम्ही त्याला ओळखत नाही
we do not know him,आपण त्याला ओळखत नाही
we do not know him,आम्ही त्यांना ओळखत नाही
we do not know him,आपण त्यांना ओळखत नाही
we do not like rain,आम्हाला पाऊस आवडत नाही
we do not like rain,आपल्याला पाऊस आवडत नाही
we drank all night,आम्ही रात्रभर प्यायलो
we drank all night,आपण रात्रभर प्यायलो
we found her alive,आम्हाला ती जिवंत सापडली
we found her alive,आपल्याला ती जिवंत सापडली
we found her alive,आम्हाला त्या जिवंत सापडल्या
we found her alive,आपल्याला त्या जिवंत सापडल्या
we found him alive,आम्हाला तो जिवंत सापडला
we found him alive,आम्हाला ते जिवंत सापडले
we found something,आम्हाला काहीतरी सापडलं
we got many grapes,आम्हाला भरपूर द्राक्ष मिळाली
we got many grapes,आपल्याला भरपूर द्राक्ष मिळाली
we have everything,आमच्याकडे सगळं आहे
we have everything,आमच्याकडे सर्वकाही आहे
we have everything,आपल्याकडे सगळं आहे
we have everything,आपल्याकडे सर्वकाही आहे
we kept them quiet,आम्ही त्यांना शांत ठेवतो
we kept them quiet,आपण त्यांना शांत ठेवतो
we know everything,आम्हाला सगळं माहीत आहे
we know everything,आपल्याला सगळं माहीत आहे
we know who did it,कोणी केलं हे आम्हाला माहीत आहे
we know who did it,कोणी केलं हे आपल्याला माहीत आहे
we love each other,आमचं एकमेकांवर प्रेम आहे
we love each other,आपलं एकमेकांवर प्रेम आहे
we made you a cake,आम्ही तुझ्यासाठी केक बनवला
we made you a cake,आम्ही तुमच्यासाठी केक बनवला
we need more sugar,आपल्याला अजून साखरेची गरज आहे
we need more sugar,आम्हाला अजून साखरेची गरज आहे
we never use sugar,आम्ही कधीही साखर वापरत नाही
we never use sugar,आपण कधीही साखर वापरत नाही
we should tell tom,आपण टॉमला सांगायला हवं
we should tell tom,आम्ही टॉमला सांगायला हवं
we should tell tom,आपण टॉमला सांगितलं पाहिजे
we should tell tom,आम्ही टॉमला सांगितलं पाहिजे
we spoke in french,आम्ही फ्रेंचमध्ये बोललो
we spoke in french,आपण फ्रेंचमध्ये बोललो
we started to walk,आम्ही चालायला सुरूवात केली
we started to walk,आपण चालायला सुरूवात केली
we started to walk,आम्ही चालायला लागलो
we started to walk,आपण चालायला लागलो
we still have time,आपल्याकडे अजूनही वेळ आहे
we still have time,आमच्याकडे अजूनही वेळ आहे
we still have time,अजूनही वेळ आहे
we studied english,आम्ही इंग्रजीचा अभ्यास केला
we studied english,आपण इंग्रजीचा अभ्यास केला
we swam in the sea,आम्ही समुद्रात पाहलो
we swam in the sea,आपण समुद्रात पोहलो
we understand that,आम्हाला ते समजतं
we understood that,आम्हाला ते समजलं
we understood that,आम्हाला ते कळलं
we understood that,आपल्याला ते समजलं
we understood that,आपल्याला ते कळलं
we want to go home,आम्हाला घरी जायचं आहे
we want to go home,आपल्याला घरी जायचं आहे
we want to hear it,आम्हाला ऐकायचं आहे
we watched a movie,आम्ही एक चित्रपट पाहिला
we were happy then,तेव्हा आम्ही खुश होतो
we were happy then,तेव्हा आपण खुश होतो
we were happy then,तेव्हा आपण सुखी होतो
we were happy then,तेव्हा आम्ही सुखी होतो
we were in a hurry,आम्ही घाईत होतो
we were in a hurry,आपण घाईत होतो
we were very lucky,आम्ही अगदी नशीबवान होतो
we were very lucky,आपण अतिशय नशीबवान होतो
we were very tired,आम्ही फारच थकलो होतो
we were very tired,आपण फारच थकलो होतो
we were very tired,आम्ही अगदी थकलेलो
we were very tired,आपण अगदी थकलेलो
we were very tired,आम्ही अतिशय थकून गेलेलो
we were very tired,आपण अतिशय थकून गेलेलो
we would not be silent,आम्ही शांत राहणार नाही
we would not be silent,आपण शांत राहणार नाही
we will let you know,आम्ही तुला कळवू
we will let you know,आम्ही तुम्हाला कळवू
we will meet at ,आपण ला भेटू
we will never forget,आम्ही कधीही विसरणार नाही
we will never forget,आपण कधीही विसरणार नाही
we will probably win,आपण कदाचित जिंकू
we will probably win,आम्ही कदाचित जिंकू
we will win for sure,आपण नक्की जिंकू
we will win for sure,आम्ही नक्की जिंकू
we are all watching,आम्ही सर्व बघत आहोत
we are all watching,आपण सर्व बघत आहोत
we are all with you,आम्ही सर्व तुझ्याबरोबर आहोत
we are all with you,आम्ही सगळे तुझ्याबरोबर आहोत
we are all with you,आम्ही सर्व तुमच्याबरोबर आहोत
we are all with you,आम्ही सगळे तुमच्याबरोबर आहोत
we are all with you,आम्ही सर्व तुमच्याबरोबरच आहोत
we are all with you,आम्ही सर्व तुमच्याबरोबर आहोतच
we are all with you,आम्ही सर्वच तुमच्याबरोबर आहोत
we are all with you,आम्ही सर्व तुझ्याबरोबर आहोतच
we are all with you,आम्ही सर्व तुझ्याबरोबरच आहोत
we are all with you,आम्ही सर्वच तुझ्याबरोबर आहोत
we are almost ready,आपण जवळजवळ तयार झालोच आहोत
we are almost ready,आम्ही जवळजवळ तयार झालोच आहोत
we are already late,आपल्याला आधीच उशीर झाला आहे
we are always right,आम्ही नेहमीच बरोबर असतो
we are always right,आपण नेहमीच अचूक असतो
we are being hunted,आपला शिकार केला जातोय
we are both writers,आम्ही दोघेही लेखक आहोत
we are both writers,आपण दोघेही लेखक आहोत
we are both writers,आम्ही दोघीही लेखिका आहोत
we are both writers,आपण दोघीही लेखिका आहोत
we are contributing,आम्ही योगदान करत आहोत
we are contributing,आपण योगदान करत आहोत
we are going to die,आपण मरणार आहोत
we are going to die,आम्ही मरणार आहोत
we are going to win,आपण जिंकणार आहोत
we are going to win,आम्ही जिंकणार आहोत
we are just friends,आम्ही तर फक्त मित्र आहोत
we are just friends,आपण तर फक्त मित्र आहोत
we are just friends,आम्ही फक्त मित्र आहोत
we are just friends,आपण फक्त मित्र आहोत
we are not soldiers,आम्ही सैनिक नव्हे
we are not soldiers,आपण सैनिक नव्हे
we are on your side,आम्ही तुमच्या पाठीशी आहोत
we are on your side,आम्ही तुझ्या पाठीशी आहोत
we are on your side,आम्ही तुमच्या बाजूने आहोत
we are on your side,आम्ही तुझ्या बाजूने आहोत
we are proud of tom,आम्हाला टॉमचा अभिमान वाटतो
we are proud of tom,आपल्याला टॉमचा आभिमान वाटतो
we are really lucky,आम्ही खरच नशीबवान आहोत
we are really lucky,आपण खरच नशीबवान आहोत
we are under attack,आमच्यावर हल्ला होत आहे
we are your friends,आम्ही तुमचे मित्र आहोत
we are your friends,आमची तुझे मित्र आहोत
we have both seen it,आपण दोघांनी पाहिलंय
we have both seen it,आम्ही दोघांनी पाहिलंय
we have both seen it,आम्ही दोघांनी बघितलंय
we have both seen it,आपण दोघांनी बघितलंय
we have fed the fish,आम्ही माशांना भरवलं आहे
we have fed the fish,आपण माशांना भरवलं आहे
what i say is true,मी जे म्हणतो ते खरं आहे
what i say is true,मी जे म्हणते ते खरं आहे
what a lot of pens,किती पेनं
what a lot of pens,किती पेनं आहेत
what an idiot i am,काय मूर्ख आहे मी
what an idiot i am,मी पण किती मूर्ख आहे
what an idiot i am,किती बावळट आहे मी
what an idiot i am,मी पण किती बावळत आहे
what are the rules,नियम काय आहेत
what are you doing,तू काय करत आहेस
what are you doing,तुम्ही काय करत आहात
what are you doing,आपण काय करताय
what can that mean,त्याचा अर्थ काय असू शकतो
what color is this,हा कोणता रंग आहे
what did they take,त्यांनी काय घेतलं
what did you bring,तू काय आणलंस
what did you bring,तुम्ही काय आणलंत
what did you bring,काय आणलंस
what did you bring,काय आणलंत
what did you learn,काय शिकलास
what did you learn,काय शिकलीस
what did you learn,काय कळून आलं
what did you learn,तुम्ही काय शिकलात
what did you learn,काय शिकलात
what do i call you,मी तुम्हाला काय म्हणू
what do i call you,मी तुला काय म्हणू
what do they think,त्यांचा काय विचार आहे
what does tom know,टॉमला काय माहीत आहे
what does she have,तिच्याकडे काय आहे
what floor am i on,मी कोणत्या मजल्यावर आहे
what happened then,मग काय झालं
what is hemoglobin,हिमोग्लोबिन काय असतं
what is hemoglobin,हिमोग्लोबिन म्हणजे
what is hemoglobin,हिमोग्लोबिन काय आहे
what is over there,ते तिथे काय आहे
what is over there,त्या बाजूला काय आहे
what is your dream,तुझं स्वप्न काय आहे
what is your dream,तुमचं स्वप्न काय आहे
what movie is this,हा कोणता चित्रपट आहे
what should i wear,मी काय घालू
what time is lunch,जेवण किती वाजता आहे
what was tom doing,टॉम काय करत होता
what was thiscussed,कशाची चर्चा झाली
what were you told,तुला काय सांगितलं गेलं होतं
what were you told,तुम्हाला काय सांगितलं होतं
